ÇÐ¹ø,ÀÌ¸§,java,c,python,À¯´ÏÆ¼
30301,±è1,,,,
30302,±è2,5,2,23,6
30303,±è3,10,3,21,5
30304,±è4,15,3,4,342
30305,±è5,20,4,67,52
30306,±è6,25,5,3,35
30307,±è7,30,6,1,5
30308,±è8,35,1,424,6
30309,±è9,,,,
30310,±è10,45,125,214,5
30311,±è11,50,325,35,67
30312,±è12,55,3245,3,7
30313,±è13,60,123,14,8
30314,±è14,65,342,123,5
30315,±è15,70,234,21,4
30316,±è16,75,2,412,2
30317,±è17,80,43,421,52
30318,±è18,85,23,4,34
30319,±è19,90,3,214,41
30320,±è20,100,4,213,1
30321,±è21,100,1,21,34
30322,±è22,101,2,41,5
